----------------------- Page 1-----------------------

abandon            v./n.放弃；放纵                                            分拆联想：a+band(乐队)+on→一个乐队在演出→放纵 
abash              v.使害羞，使尴尬                                             分拆联想：ab+ash(灰)→中间有灰，灰头灰脸→尴尬 
abate              v.减轻，减少                                               词根记忆：a(加强)+bate(减弱，减少)→减轻 
abbreviate         v.缩短；缩写                                               词根记忆：ab(加强)+brev(短)+iate→缩短 
abdicate           v.退位，辞职，放弃                                            词根记忆：ab(相反)+dic(说话，命令)+ate→不再命令→退位，辞职 
aberrant           a.越轨的；异常的                                             词根记忆：ab+err(错误)+ant→走向错误→越轨的 
abet               v.教唆，鼓励，帮助                                            无 
abeyance           n.中止，搁置                                               发音记忆：“又被压死”→(事情)因搁置而死 
abhor              v.憎恨，嫌恶                                               词根记忆：ab+hor(恨，怕)→憎恨，厌恶 
abide              v.容忍，忍受                                               注意：abide=tolerate，和词组abide by(遵守)意义不同 
abject             a.极可怜的;卑下的                                            词根记忆：ab+ject(抛，扔)→被人抛弃→极可怜的 
abjure             v.发誓放弃                                                词根记忆：ab(离去)+jur(发誓)+e→发誓去掉，弃绝 
ablution           n.(宗教的)净礼，沐浴                                          词根记忆：ab+lut(冲，洗)+ion→沐浴 
abnegate           v.否认，放弃                                               词根记忆：ab+neg(反对，否认)+ate→否认，放弃 
abolish            v.废止，废除(法律、制度、习俗等)                                    分拆联想：ab+(p)olish(抛光，优雅)→不优雅的东西就应该废除 
abominate          v.痛恨；厌恶                                               词根记忆：ab+omin(=omen 凶兆)+ate→痛恨坏运气 
aboveboard         a./adv.光明正大的(地)                                       分拆联想：above(在„上)+board(会议桌)→可以放到桌面上谈→光明正大的(地) 
abrade             v.磨损，磨小                                               词根记忆：ab(离去)+rade(磨擦)→摩擦掉，磨损 
abreast            adv.并列，并排                                             分拆联想：a+breast(胸)→胸和胸并排 
abridge            v.删减；缩短                                               分拆联想：a+bridge→一座桥把路缩短了 
abrogate           v.废止，废除                                               词根记忆：ab+rog(要求)+ate→要求离开→废除 
abscission         n.[医]切除，截去；[植]脱离                                      词根记忆：ab(离去)+sciss(切，割)+ion→切除，截去 
abscond            v.潜逃，逃亡                                               词根记忆：abs(离去)+cond(藏起来) 
absenteeism        n.旷课，旷工                                               词根记忆：absent(缺席)＋ee(人)＋ism→旷课，旷工 
absolute           a.绝对的，完全的; 无(条件)限制的                                   无 
